County,Area,2019,2020,2021,2022
Barbour County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Berkeley County,Hagerstown-Martinsburg MD-WV,45.579,49.121,40.470,40.564
Boone County,Charleston WV,45.558,46.748,47.100,47.052
Braxton County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Brooke County,Weirton-Steubenville WV-OH,51.685,48.343,51.597,45.308
Cabell County,Huntington-Ashland WV-KY-OH,46.758,48.635,44.846,45.867
Calhoun County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Clay County,Charleston WV,45.558,46.748,47.100,47.052
Doddridge County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Fayette County,Beckley WV,54.300,57.369,54.215,57.746
Gilmer County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Grant County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Greenbrier County,Southern West Virginia nonmetropolitan area,52.364,51.962,49.448,51.324
Hampshire County,Winchester VA-WV,42.940,39.296,42.991,41.651
Hancock County,Weirton-Steubenville WV-OH,51.685,48.343,51.597,45.308
Hardy County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Harrison County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Jackson County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Jefferson County,Washington-Arlington-Alexandria DC-VA-MD-WV,30.212,29.641,30.338,29.433
Kanawha County,Charleston WV,45.558,46.748,47.100,47.052
Lewis County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Lincoln County,Huntington-Ashland WV-KY-OH,46.758,48.635,44.846,45.867
Logan County,Southern West Virginia nonmetropolitan area,52.364,51.962,49.448,51.324
Marion County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Marshall County,Wheeling WV-OH,50.376,47.120,50.519,54.541
Mason County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
McDowell County,Southern West Virginia nonmetropolitan area,52.364,51.962,49.448,51.324
Mercer County,Southern West Virginia nonmetropolitan area,52.364,51.962,49.448,51.324
Mineral County,Cumberland MD-WV,36.944,39.829,37.331,38.790
Mingo County,Southern West Virginia nonmetropolitan area,52.364,51.962,49.448,51.324
Monongalia County,Morgantown WV,46.374,44.001,42.960,42.501
Monroe County,Southern West Virginia nonmetropolitan area,52.364,51.962,49.448,51.324
Morgan County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Nicholas County,Southern West Virginia nonmetropolitan area,52.364,51.962,49.448,51.324
Ohio County,Wheeling WV-OH,50.376,47.120,50.519,54.541
Pendleton County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Pleasants County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Pocahontas County,Southern West Virginia nonmetropolitan area,52.364,51.962,49.448,51.324
Preston County,Morgantown WV,46.374,44.001,42.960,42.501
Putnam County,Huntington-Ashland WV-KY-OH,46.758,48.635,44.846,45.867
Raleigh County,Beckley WV,54.300,57.369,54.215,57.746
Randolph County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Ritchie County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Roane County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Summers County,Southern West Virginia nonmetropolitan area,52.364,51.962,49.448,51.324
Taylor County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Tucker County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Tyler County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Upshur County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Wayne County,Huntington-Ashland WV-KY-OH,46.758,48.635,44.846,45.867
Webster County,Southern West Virginia nonmetropolitan area,52.364,51.962,49.448,51.324
Wetzel County,Northern West Virginia nonmetropolitan area,55.783,52.064,51.968,56.935
Wirt County,Parkersburg-Vienna WV,49.482,43.522,46.813,49.648
Wood County,Parkersburg-Vienna WV,49.482,43.522,46.813,49.648
Wyoming County,Southern West Virginia nonmetropolitan area,52.364,51.962,49.448,51.324